"Family","Pair","Test","Ref","Mean","Diff"
"Mononchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0819699005,-0.053951793
"Mononchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0063388725,0.012677745
"Mononchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0,0
"Mononchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0054822685,0.010964537
"Mononchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0401860355,-0.026748635
"Panagrolaimidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.042102107,0.084204214
"Panagrolaimidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.005226605,-0.001715844
"Panagrolaimidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0011135855,0.002227171
"Panagrolaimidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.024987649,0.018895698
"Panagrolaimidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.2124041025,0.032618555
"Panagrolaimidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.01001197,0.0032757
"Panagrolaimidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0106574595,0.009180199
"Panagrolaimidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.02667157,0.040369384
"Panagrolaimidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.017340518,-0.025087066
"Panagrolaimidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.112852978,-0.076656786
"Panagrolaimidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0366480165,-0.023099013
"Panagrolaimidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.037824108,0.027144314
"Panagrolaimidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.1272527365,0.031257761
"Panagrolaimidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0578931325,0.077977655
"Panagrolaimidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.045887422,0.045281864
"Panagrolaimidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0253916135,-0.039818691
"Panagrolaimidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0210724685,0.042144937
"Panagrolaimidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0937803595,0.161933885
"Rhabditidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0441865015,-0.087002435
"Rhabditidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.067930418,-0.13294838
"Rhabditidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0312149235,-0.045469079
"Rhabditidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.081019271,-0.000825590000000001
"Rhabditidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.035767378,-0.068793622
"Rhabditidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.005782095,-0.000599654
"Rhabditidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0349976495,-0.058516799
"Rhabditidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.032685572,-0.062972652
"Rhabditidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.012418149,-0.0018793
"Rhabditidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0036176525,-0.000896433
"Rhabditidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0073455965,-0.008180999
"Rhabditidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.051547713,0.05126469
"Rhabditidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.06982777,-0.134687234
"Rhabditidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0137846095,-0.003755617
"Rhabditidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.042678363,-0.06291369
"Rhabditidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.111539091,-0.168769462
"Rhabditidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0459282045,0.046056903
"Tylenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0401967915,-0.060006397
"Tylenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.18079809,-0.184107744
"Tylenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.1049419365,-0.199947261
"Tylenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0035774065,-0.006469529
"Tylenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.005579553,-0.010302502
"Tylenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0124364655,-0.022988401
"Tylenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.075401252,-0.110028134
"Tylenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.022155676,-0.035916628
"Tylenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.001689482,-0.00252236
"Tylenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.00911869,-0.014639642
"Tylenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.014768673,-0.024055078
"Tylenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.007099428,-0.014198856
"Tylenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0010398555,0.001175385
"Tylenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0035043555,-0.004610219
"Tylenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.021499361,-0.042998722
"Tylenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0275376825,-0.053362157
"Tylenchidae","Nematode-extracted DNA vs Mass proportion","Nematode-extracted DNA","Mass proportion",0.0318172505,-0.051813361
"Aphelenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.038581898,-0.03822082
"Aphelenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0203883665,-0.010178681
"Aphelenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.010638298,-0.021276596
"Aphelenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.100845619,0.073691238
"Aphelenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.017162954,-0.01485442
"Aphelenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.023821975,-0.00035605
"Aphelenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.009735744,0.019471488
"Aphelenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.004867872,0.009735744
"Aphelenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.004,-0.008
"Aphelenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0259944365,0.011988873
"Aphelenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.008781641,-0.006436718
"Aphelenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.011049724,-0.022099448
"Aphelenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.076069541,0.048139082
"Aphelenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.008867872,0.001735744
"Aphelenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0281668985,0.024333797
"Aphelenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0437368685,-0.040185837
"Aphelenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.04245283,-0.08490566
"Aphelenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.009887308,-0.00586641
"Aphelenchoididae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0559983595,-0.067490461
"Aphelenchoididae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.095027595,-0.153893854
"Aphelenchoididae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.075444619,-0.06187672
"Aphelenchoididae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.050954103,-0.074091794
"Aphelenchoididae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0451931185,-0.065351467
"Aphelenchoididae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.044954103,-0.062091794
"Aphelenchoididae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0162951545,-0.021463745
"Aphelenchoididae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.016532665,-0.00803056
"Aphelenchoididae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.088781641,-0.166436718
"Aphelenchoididae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0503449235,-0.067310153
"Aphelenchoididae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0283449235,-0.023310153
"Aphelenchoididae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.076053297,-0.102037052
"Aphelenchoididae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.022,-0.044
"Aphelenchoididae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.045040334,-0.053919332
"Aphelenchoididae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.044086231,-0.079827538
"Aphelenchoididae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0410242755,-0.059795421
"Aphelenchoididae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.033169759,-0.04686803
"Aphelenchoididae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.019230769,-0.038461538
"Cephalobidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.303426233,-0.431609072
"Cephalobidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.1615743735,-0.211883101
"Cephalobidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.2010179625,-0.321368331
"Cephalobidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.3793685675,-0.497262865
"Cephalobidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.27632299,-0.31620648
"Cephalobidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.191293463,-0.257413074
"Cephalobidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0709412475,-0.047306695
"Cephalobidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.1373530585,-0.177348677
"Cephalobidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.1558970795,-0.128205841
"Cephalobidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.1186842835,-0.106631433
"Cephalobidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.120069541,-0.039860918
"Cephalobidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.1349710695,-0.094698745
"Cephalobidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.2391905425,-0.169618915
"Cephalobidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.1536383865,-0.148723227
"Cephalobidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.3432767735,-0.369446453
"Cephalobidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.079059766,-0.08301522
"Cephalobidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.2130776495,-0.234222059
"Cephalobidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.088138797,-0.028850612
"Monhysteridae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0449297455,0.077038979
"Monhysteridae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0484971165,0.058777673
"Monhysteridae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.110708332,0.19304787
"Monhysteridae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.091621697,0.167243394
"Monhysteridae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.045053467,0.057320048
"Monhysteridae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.014603616,0.029207232
"Monhysteridae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.15806488,0.153967598
"Monhysteridae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.280107455,0.341036828
"Monhysteridae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.12691516,0.22183032
"Monhysteridae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.1007482615,0.193496523
"Monhysteridae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.1168344925,0.169668985
"Monhysteridae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.1667447885,0.245091787
"Monhysteridae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.087449235,0.15889847
"Monhysteridae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0340751045,0.068150209
"Monhysteridae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.118742698,0.221485396
"Monhysteridae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.132749386,0.137839198
"Monhysteridae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0711745875,0.085745401
"Monhysteridae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.254769801,-0.00328091000000003
"Mononchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0096153845,-0.019230769
"Mononchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0031847135,-0.006369427
"Mononchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0,0
"Mononchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0062586925,0.012517385
"Mononchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0040983605,-0.008196721
"Mononchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0916383865,-0.024723227
"Mononchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.006756757,-0.013513514
"Mononchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.006849315,-0.01369863
"Mononchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0,0
"Mononchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0,0
"Mononchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0,0
"Mononchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0,0
"Mononchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.002,-0.004
"Mononchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.012,-0.024
"Mononchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.006954103,0.013908206
"Mononchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0,0
"Mononchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0,0
"Mononchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0064102565,-0.012820513
"Panagrolaimidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0104311545,0.020862309
"Panagrolaimidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.006369427,-0.012738854
"Panagrolaimidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0,0
"Panagrolaimidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.012,-0.024
"Panagrolaimidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.1311560915,-0.106540277
"Panagrolaimidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.008,-0.016
"Panagrolaimidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0135135135,-0.027027027
"Panagrolaimidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0339703165,0.040543373
"Panagrolaimidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.014,-0.028
"Panagrolaimidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.062781641,-0.114436718
"Panagrolaimidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.030781641,-0.050436718
"Panagrolaimidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0303867405,-0.060773481
"Panagrolaimidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0732990265,-0.085401947
"Panagrolaimidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.028086231,-0.047827538
"Panagrolaimidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.028,-0.056
"Panagrolaimidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.037478176,-0.052703222
"Panagrolaimidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.020862309,0.041724618
"Panagrolaimidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0227078205,-0.031507435
"Rhabditidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.031847134,-0.063694268
"Rhabditidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.05458231,-0.103601338
"Rhabditidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.020781641,-0.030436718
"Rhabditidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0895511755,-0.009422239
"Rhabditidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.046,-0.092
"Rhabditidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0135135135,-0.027027027
"Rhabditidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.058533542,-0.033617848
"Rhabditidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0186954105,-0.034609179
"Rhabditidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.002,-0.004
"Rhabditidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0094770515,-0.005045897
"Rhabditidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.008287293,-0.016574586
"Rhabditidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0824089015,0.132817803
"Rhabditidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0355632825,-0.048873435
"Rhabditidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.027821975,-0.00835605
"Rhabditidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0458921475,-0.050059677
"Rhabditidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.135519721,-0.087451124
"Rhabditidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.065279412,0.027994722
"Tylenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.027424129,0.003566206
"Tylenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.1964467635,0.074422189
"Tylenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.188165202,0.007536078
"Tylenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0186954105,-0.034609179
"Tylenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0143442625,-0.028688525
"Tylenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.06364395,-0.0327121
"Tylenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.1373153405,-0.157801751
"Tylenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.042486711,-0.07941014
"Tylenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.008,-0.016
"Tylenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0251265645,-0.005746871
"Tylenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.014,-0.028
"Tylenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.008,-0.016
"Tylenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.004086231,0.000172462
"Tylenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0073908205,-0.009218359
"Tylenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0467947015,-0.090807761
"Tylenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.095848532,0.00301781800000001
"Tylenchidae","eDNA metabarcoding vs Morphological identification","eDNA metabarcoding","Morphological identification",0.0800970005,-0.096216255
"Aphelenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0227037825,-0.006464589
"Aphelenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.012277363,0.006043326
"Aphelenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.00554241,-0.01108482
"Aphelenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.077770703,0.11984107
"Aphelenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0111276465,-0.002783805
"Aphelenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0160330155,0.015221869
"Aphelenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.009735744,0.019471488
"Aphelenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.004867872,0.009735744
"Aphelenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0009533845,-0.001906769
"Aphelenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0291360265,0.005705693
"Aphelenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0060212215,-0.000915879
"Aphelenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0011883035,-0.002376607
"Aphelenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.058783057,0.08271205
"Aphelenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.006797753,0.005875982
"Aphelenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0239109205,0.032845753
"Aphelenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.021549478,0.004188944
"Aphelenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0234175115,-0.046835023
"Aphelenchidae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0043354825,0.005237241
"Aphelenchoididae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0394956445,-0.034485031
"Aphelenchoididae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.030159599,-0.024157862
"Aphelenchoididae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0351089245,0.018794669
"Aphelenchoididae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0222747705,-0.016733129
"Aphelenchoididae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.024626984,-0.024219198
"Aphelenchoididae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0150151485,-0.002213885
"Aphelenchoididae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.004232275,0.002662014
"Aphelenchoididae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.007643211,0.009748348
"Aphelenchoididae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.052037747,-0.09294893
"Aphelenchoididae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.036330567,-0.03928144
"Aphelenchoididae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.020446961,-0.007514228
"Aphelenchoididae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0250034665,6.26090000000017e-05
"Aphelenchoididae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0093911775,-0.018782355
"Aphelenchoididae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.021110592,-0.006059848
"Aphelenchoididae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0196908155,-0.031036707
"Aphelenchoididae","eDNA metabarcoding vs Mass proportion","eDNA metabarcoding","Mass proportion",0.0196857045,-0.017118279
